dataset SLbayes_train_error ULbayes_train_error ULbayes_error-SLbayes_error d
mnist_0v1 0.0014208389715831826 0.009066305818673884 0.0076454668470907015 20
mnist_5v6 0.024869209189476105 0.042535446205170975 0.01766623701569487 20
mnist_5v9 0.024564840629945017 0.04573882902569512 0.021173988395750104 20
mnist_1v7 0.0060646011865523874 0.03691496374423204 0.03085036255767965 20
vehicleNorm 0.14153337122442355 0.17703596947060735 0.03550259824618379 100
madeline 0.34458598726114653 0.3818471337579618 0.03726114649681528 259
jasmine 0.18398123324396787 0.24698391420911528 0.06300268096514741 144
mnist_3v8 0.04296147787483895 0.1059716454246026 0.06301016754976366 20
a9a 0.15007575447360877 0.21618688833381106 0.06611113386020229 123
philippine 0.24039780521262 0.31893004115226337 0.07853223593964337 308
nomao 0.049702596837371216 0.14754098360655737 0.09783838676918616 118
SantanderCustomerSatisfaction 0.08549499999999999 0.215975 0.13048 200
musk 0.03743558654137613 0.27023340406183693 0.2327978175204608 166
