num_repetitions,5
data,a9a
n_pca_components,
n_all_train,46842
n_labelled_values,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled_values,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
n_test_set,1000
n_val_set,1000
unl_to_lab_ratio,20
n_labelled,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
sl_acc,"[0.848, 0.848, 0.848, 0.848, 0.859, 0.859, 0.853, 0.858, 0.857, 0.857, 0.857, 0.857, 0.857, 0.857, 0.857, 0.857, 0.851, 0.854, 0.849, 0.856, 0.856, 0.856, 0.856, 0.856, 0.856, 0.856, 0.856, 0.859, 0.858, 0.854, 0.855, 0.855, 0.855, 0.855, 0.855, 0.856, 0.851, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.86, 0.801, 0.801, 0.849, 0.849, 0.847, 0.847, 0.847, 0.848, 0.848, 0.848, 0.849, 0.855, 0.855, 0.851, 0.853, 0.853, 0.852, 0.852, 0.852, 0.853, 0.853, 0.847, 0.859, 0.848, 0.849, 0.849, 0.849, 0.849, 0.849, 0.849, 0.849, 0.85, 0.857, 0.859, 0.859, 0.856, 0.855, 0.857]"
ssl_acc,"[0.876, 0.875, 0.874, 0.879, 0.87, 0.869, 0.877, 0.868, 0.867, 0.871, 0.868, 0.869, 0.869, 0.866, 0.874, 0.869, 0.875, 0.875, 0.875, 0.877, 0.875, 0.875, 0.879, 0.875, 0.876, 0.879, 0.876, 0.868, 0.868, 0.877, 0.876, 0.876, 0.876, 0.876, 0.876, 0.877, 0.874, 0.844, 0.793, 0.83, 0.793, 0.793, 0.793, 0.793, 0.793, 0.795, 0.795, 0.794, 0.799, 0.793, 0.793, 0.874, 0.795, 0.795, 0.876, 0.872, 0.878, 0.876, 0.881, 0.876, 0.877, 0.876, 0.876, 0.875, 0.875, 0.877, 0.877, 0.876, 0.877, 0.876, 0.874, 0.877, 0.876, 0.877, 0.867, 0.877, 0.879, 0.875, 0.878, 0.875, 0.874, 0.874, 0.874, 0.874, 0.879, 0.866, 0.869, 0.872, 0.873, 0.87]"
ul_acc,"[0.539, 0.545, 0.615, 0.648, 0.687, 0.585, 0.583, 0.598, 0.528, 0.622, 0.63, 0.645, 0.665, 0.521, 0.688, 0.611, 0.62, 0.625, 0.486, 0.574, 0.609, 0.585, 0.679, 0.561, 0.57, 0.515, 0.618, 0.62, 0.687, 0.579, 0.689, 0.595, 0.616, 0.608, 0.712, 0.615, 0.508, 0.562, 0.548, 0.576, 0.528, 0.49, 0.516, 0.501, 0.489, 0.502, 0.539, 0.539, 0.632, 0.556, 0.556, 0.56, 0.557, 0.561, 0.573, 0.523, 0.5, 0.538, 0.565, 0.587, 0.717, 0.605, 0.619, 0.629, 0.528, 0.643, 0.653, 0.526, 0.523, 0.65, 0.747, 0.644, 0.569, 0.573, 0.622, 0.637, 0.646, 0.63, 0.652, 0.639, 0.623, 0.633, 0.631, 0.648, 0.652, 0.598, 0.648, 0.631, 0.601, 0.602]"
st_acc,"[0.847, 0.849, 0.849, 0.848, 0.848, 0.85, 0.848, 0.849, 0.851, 0.85, 0.85, 0.852, 0.849, 0.847, 0.844, 0.844, 0.851, 0.844, 0.848, 0.85, 0.849, 0.853, 0.853, 0.849, 0.853, 0.85, 0.851, 0.848, 0.848, 0.849, 0.851, 0.85, 0.849, 0.849, 0.849, 0.852, 0.849, 0.851, 0.85, 0.852, 0.85, 0.851, 0.85, 0.851, 0.852, 0.851, 0.852, 0.853, 0.854, 0.855, 0.848, 0.854, 0.856, 0.855, 0.85, 0.849, 0.847, 0.848, 0.849, 0.843, 0.845, 0.846, 0.846, 0.85, 0.845, 0.847, 0.85, 0.849, 0.85, 0.85, 0.848, 0.849, 0.849, 0.848, 0.85, 0.85, 0.856, 0.856, 0.857, 0.851, 0.852, 0.853, 0.851, 0.854, 0.85, 0.853, 0.85, 0.851, 0.854, 0.85]"
sl_diff_acc,"[0.028000000000000025, 0.027000000000000024, 0.026000000000000023, 0.031000000000000028, 0.01100000000000001, 0.010000000000000009, 0.02400000000000002, 0.010000000000000009, 0.010000000000000009, 0.014000000000000012, 0.01100000000000001, 0.01200000000000001, 0.01200000000000001, 0.009000000000000008, 0.017000000000000015, 0.01200000000000001, 0.02400000000000002, 0.02100000000000002, 0.026000000000000023, 0.02100000000000002, 0.019000000000000017, 0.019000000000000017, 0.02300000000000002, 0.019000000000000017, 0.020000000000000018, 0.02300000000000002, 0.020000000000000018, 0.009000000000000008, 0.010000000000000009, 0.02300000000000002, 0.02100000000000002, 0.02100000000000002, 0.02100000000000002, 0.02100000000000002, 0.02100000000000002, 0.02100000000000002, 0.02300000000000002, 0.041999999999999926, -0.009000000000000008, 0.027999999999999914, -0.009000000000000008, -0.009000000000000008, -0.009000000000000008, -0.009000000000000008, -0.009000000000000008, -0.007000000000000006, -0.007000000000000006, -0.008000000000000007, -0.0030000000000000027, -0.009000000000000008, -0.009000000000000008, 0.014000000000000012, -0.006000000000000005, -0.006000000000000005, 0.027000000000000024, 0.02300000000000002, 0.031000000000000028, 0.029000000000000026, 0.03400000000000003, 0.028000000000000025, 0.029000000000000026, 0.028000000000000025, 0.027000000000000024, 0.020000000000000018, 0.020000000000000018, 0.026000000000000023, 0.02400000000000002, 0.02300000000000002, 0.025000000000000022, 0.02400000000000002, 0.02200000000000002, 0.02400000000000002, 0.02300000000000002, 0.030000000000000027, 0.008000000000000007, 0.029000000000000026, 0.030000000000000027, 0.026000000000000023, 0.029000000000000026, 0.026000000000000023, 0.025000000000000022, 0.025000000000000022, 0.025000000000000022, 0.02400000000000002, 0.02200000000000002, 0.007000000000000006, 0.010000000000000009, 0.016000000000000014, 0.018000000000000016, 0.013000000000000012]"
ul_diff_acc,"[0.33699999999999997, 0.32999999999999996, 0.259, 0.23099999999999998, 0.18299999999999994, 0.28400000000000003, 0.29400000000000004, 0.27, 0.33899999999999997, 0.249, 0.238, 0.22399999999999998, 0.20399999999999996, 0.345, 0.18600000000000005, 0.258, 0.255, 0.25, 0.389, 0.30300000000000005, 0.266, 0.29000000000000004, 0.19999999999999996, 0.31399999999999995, 0.30600000000000005, 0.364, 0.258, 0.248, 0.18099999999999994, 0.29800000000000004, 0.18700000000000006, 0.281, 0.26, 0.268, 0.16400000000000003, 0.262, 0.366, 0.2819999999999999, 0.245, 0.254, 0.265, 0.30300000000000005, 0.277, 0.29200000000000004, 0.30400000000000005, 0.29300000000000004, 0.256, 0.255, 0.16700000000000004, 0.237, 0.237, 0.31399999999999995, 0.238, 0.23399999999999999, 0.30300000000000005, 0.349, 0.378, 0.33799999999999997, 0.31600000000000006, 0.28900000000000003, 0.16000000000000003, 0.271, 0.257, 0.246, 0.347, 0.23399999999999999, 0.22399999999999998, 0.35, 0.354, 0.22599999999999998, 0.127, 0.23299999999999998, 0.30700000000000005, 0.30400000000000005, 0.245, 0.24, 0.23299999999999998, 0.245, 0.22599999999999998, 0.236, 0.251, 0.241, 0.243, 0.22599999999999998, 0.22699999999999998, 0.268, 0.22099999999999997, 0.241, 0.272, 0.268]"
st_diff_acc,"[0.029000000000000026, 0.026000000000000023, 0.025000000000000022, 0.031000000000000028, 0.02200000000000002, 0.019000000000000017, 0.029000000000000026, 0.019000000000000017, 0.016000000000000014, 0.02100000000000002, 0.018000000000000016, 0.017000000000000015, 0.020000000000000018, 0.019000000000000017, 0.030000000000000027, 0.025000000000000022, 0.02400000000000002, 0.031000000000000028, 0.027000000000000024, 0.027000000000000024, 0.026000000000000023, 0.02200000000000002, 0.026000000000000023, 0.026000000000000023, 0.02300000000000002, 0.029000000000000026, 0.025000000000000022, 0.020000000000000018, 0.020000000000000018, 0.028000000000000025, 0.025000000000000022, 0.026000000000000023, 0.027000000000000024, 0.027000000000000024, 0.027000000000000024, 0.025000000000000022, 0.025000000000000022, -0.007000000000000006, -0.05699999999999994, -0.02200000000000002, -0.05699999999999994, -0.05799999999999994, -0.05699999999999994, -0.05799999999999994, -0.05899999999999994, -0.05599999999999994, -0.05699999999999994, -0.05899999999999994, -0.05499999999999994, -0.061999999999999944, -0.05499999999999994, 0.020000000000000018, -0.06099999999999994, -0.05999999999999994, 0.026000000000000023, 0.02300000000000002, 0.031000000000000028, 0.028000000000000025, 0.03200000000000003, 0.03300000000000003, 0.03200000000000003, 0.030000000000000027, 0.030000000000000027, 0.025000000000000022, 0.030000000000000027, 0.030000000000000027, 0.027000000000000024, 0.027000000000000024, 0.027000000000000024, 0.026000000000000023, 0.026000000000000023, 0.028000000000000025, 0.027000000000000024, 0.029000000000000026, 0.017000000000000015, 0.027000000000000024, 0.02300000000000002, 0.019000000000000017, 0.02100000000000002, 0.02400000000000002, 0.02200000000000002, 0.02100000000000002, 0.02300000000000002, 0.020000000000000018, 0.029000000000000026, 0.013000000000000012, 0.019000000000000017, 0.02100000000000002, 0.019000000000000017, 0.020000000000000018]"
