num_repetitions,2
data,mnist_5v9
n_pca_components,20
n_all_train,11271
n_labelled_values,"[2, 3, 4, 5, 6, 7, 8, 9, 2, 3, 4, 5, 6, 7, 8, 9]"
n_unlabelled_values,"[40, 60, 80, 100, 120, 140, 160, 180, 40, 60, 80, 100, 120, 140, 160, 180]"
n_test_set,1000
n_val_set,1000
unl_to_lab_ratio,20
n_labelled,"[2, 3, 4, 5, 6, 7, 8, 9, 2, 3, 4, 5, 6, 7, 8, 9]"
n_unlabelled,"[40, 60, 80, 100, 120, 140, 160, 180, 40, 60, 80, 100, 120, 140, 160, 180]"
sl_acc,"[0.958, 0.958, 0.962, 0.962, 0.958, 0.96, 0.96, 0.96, 0.959, 0.959, 0.959, 0.959, 0.961, 0.959, 0.96, 0.96]"
ssl_acc,"[0.977, 0.976, 0.975, 0.976, 0.972, 0.976, 0.977, 0.978, 0.973, 0.976, 0.978, 0.978, 0.976, 0.979, 0.979, 0.978]"
ul_acc,"[0.531, 0.646, 0.632, 0.581, 0.518, 0.534, 0.575, 0.576, 0.66, 0.685, 0.655, 0.887, 0.747, 0.907, 0.901, 0.906]"
st_acc,"[0.96, 0.96, 0.959, 0.958, 0.96, 0.96, 0.959, 0.961, 0.957, 0.958, 0.959, 0.961, 0.959, 0.96, 0.96, 0.96]"
sl_diff_acc,"[0.019000000000000017, 0.018000000000000016, 0.013000000000000012, 0.014000000000000012, 0.014000000000000012, 0.016000000000000014, 0.017000000000000015, 0.018000000000000016, 0.014000000000000012, 0.017000000000000015, 0.019000000000000017, 0.019000000000000017, 0.015000000000000013, 0.020000000000000018, 0.019000000000000017, 0.018000000000000016]"
ul_diff_acc,"[0.44599999999999995, 0.32999999999999996, 0.34299999999999997, 0.395, 0.45399999999999996, 0.44199999999999995, 0.402, 0.402, 0.31299999999999994, 0.2909999999999999, 0.32299999999999995, 0.09099999999999997, 0.22899999999999998, 0.07199999999999995, 0.07799999999999996, 0.07199999999999995]"
st_diff_acc,"[0.017000000000000015, 0.016000000000000014, 0.016000000000000014, 0.018000000000000016, 0.01200000000000001, 0.016000000000000014, 0.018000000000000016, 0.017000000000000015, 0.016000000000000014, 0.018000000000000016, 0.019000000000000017, 0.017000000000000015, 0.017000000000000015, 0.019000000000000017, 0.019000000000000017, 0.018000000000000016]"
avg_sl_acc,[0.9585 0.9585 0.9605 0.9605 0.9595 0.9595 0.96   0.96  ]
avg_ssl_acc,[0.975  0.976  0.9765 0.977  0.974  0.9775 0.978  0.978 ]
avg_ul_acc,[0.5955 0.6655 0.6435 0.734  0.6325 0.7205 0.738  0.741 ]
avg_st_acc,[0.9585 0.959  0.959  0.9595 0.9595 0.96   0.9595 0.9605]
