num_repetitions,5
data,musk
n_pca_components,
n_all_train,4598
n_labelled_values,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled_values,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
n_test_set,1000
n_val_set,1000
unl_to_lab_ratio,20
n_labelled,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
sl_acc,"[0.943, 0.943, 0.933, 0.842, 0.842, 0.842, 0.915, 0.915, 0.915, 0.915, 0.915, 0.933, 0.933, 0.933, 0.933, 0.933, 0.943, 0.943, 0.945, 0.916, 0.916, 0.916, 0.916, 0.916, 0.916, 0.916, 0.915, 0.915, 0.915, 0.915, 0.934, 0.934, 0.934, 0.934, 0.934, 0.934, 0.945, 0.842, 0.915, 0.915, 0.915, 0.915, 0.915, 0.915, 0.913, 0.913, 0.913, 0.913, 0.913, 0.913, 0.913, 0.912, 0.912, 0.912, 0.944, 0.915, 0.915, 0.933, 0.933, 0.944, 0.944, 0.946, 0.946, 0.946, 0.945, 0.945, 0.946, 0.944, 0.915, 0.915, 0.915, 0.915, 0.943, 0.842, 0.842, 0.842, 0.916, 0.842, 0.842, 0.842, 0.916, 0.916, 0.916, 0.916, 0.916, 0.916, 0.842, 0.842, 0.842, 0.916]"
ssl_acc,"[0.971, 0.971, 0.956, 0.864, 0.864, 0.864, 0.931, 0.93, 0.93, 0.931, 0.931, 0.956, 0.954, 0.954, 0.953, 0.954, 0.972, 0.972, 0.972, 0.93, 0.931, 0.93, 0.931, 0.93, 0.93, 0.93, 0.93, 0.931, 0.931, 0.931, 0.954, 0.954, 0.954, 0.955, 0.955, 0.955, 0.972, 0.863, 0.931, 0.93, 0.93, 0.93, 0.931, 0.931, 0.929, 0.929, 0.929, 0.929, 0.929, 0.929, 0.929, 0.929, 0.929, 0.929, 0.972, 0.93, 0.93, 0.953, 0.953, 0.973, 0.973, 0.972, 0.972, 0.972, 0.973, 0.973, 0.972, 0.972, 0.933, 0.933, 0.932, 0.932, 0.973, 0.863, 0.863, 0.863, 0.93, 0.863, 0.865, 0.863, 0.931, 0.931, 0.931, 0.932, 0.932, 0.932, 0.864, 0.864, 0.864, 0.933]"
ul_acc,"[0.535, 0.53, 0.535, 0.545, 0.546, 0.545, 0.53, 0.545, 0.545, 0.528, 0.731, 0.528, 0.546, 0.547, 0.732, 0.545, 0.546, 0.547, 0.545, 0.545, 0.52, 0.545, 0.531, 0.545, 0.545, 0.545, 0.545, 0.545, 0.531, 0.534, 0.545, 0.545, 0.545, 0.528, 0.528, 0.529, 0.547, 0.549, 0.534, 0.547, 0.531, 0.546, 0.546, 0.53, 0.53, 0.547, 0.547, 0.733, 0.533, 0.547, 0.547, 0.547, 0.547, 0.547, 0.733, 0.545, 0.545, 0.545, 0.545, 0.527, 0.545, 0.546, 0.546, 0.529, 0.546, 0.546, 0.528, 0.547, 0.734, 0.547, 0.547, 0.547, 0.548, 0.545, 0.545, 0.546, 0.546, 0.546, 0.532, 0.546, 0.546, 0.529, 0.546, 0.529, 0.546, 0.546, 0.546, 0.546, 0.546, 0.734]"
