num_repetitions,5
data,vehicleNorm
n_pca_components,
n_all_train,96528
n_labelled_values,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled_values,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
n_test_set,1000
n_val_set,1000
unl_to_lab_ratio,20
n_labelled,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
n_unlabelled,"[40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380]"
sl_acc,"[0.83, 0.826, 0.826, 0.826, 0.819, 0.829, 0.829, 0.826, 0.826, 0.826, 0.825, 0.828, 0.828, 0.828, 0.825, 0.825, 0.821, 0.825, 0.829, 0.829, 0.824, 0.83, 0.83, 0.828, 0.828, 0.828, 0.829, 0.829, 0.828, 0.828, 0.824, 0.823, 0.824, 0.826, 0.824, 0.824, 0.815, 0.829, 0.828, 0.827, 0.827, 0.827, 0.827, 0.827, 0.826, 0.825, 0.825, 0.827, 0.826, 0.826, 0.828, 0.828, 0.828, 0.828, 0.829, 0.829, 0.826, 0.831, 0.831, 0.831, 0.824, 0.828, 0.826, 0.826, 0.828, 0.827, 0.827, 0.827, 0.827, 0.828, 0.828, 0.828, 0.83, 0.828, 0.829, 0.829, 0.829, 0.825, 0.826, 0.826, 0.823, 0.823, 0.823, 0.823, 0.823, 0.823, 0.824, 0.824, 0.828, 0.827]"
ssl_acc,"[0.876, 0.856, 0.857, 0.857, 0.837, 0.877, 0.878, 0.873, 0.875, 0.857, 0.861, 0.875, 0.875, 0.875, 0.857, 0.857, 0.837, 0.857, 0.875, 0.875, 0.857, 0.877, 0.882, 0.876, 0.879, 0.881, 0.871, 0.871, 0.876, 0.876, 0.877, 0.877, 0.878, 0.869, 0.878, 0.878, 0.837, 0.884, 0.875, 0.876, 0.878, 0.877, 0.876, 0.882, 0.871, 0.876, 0.882, 0.87, 0.877, 0.877, 0.877, 0.877, 0.876, 0.876, 0.881, 0.874, 0.857, 0.882, 0.876, 0.881, 0.862, 0.873, 0.875, 0.875, 0.874, 0.874, 0.874, 0.874, 0.874, 0.875, 0.876, 0.876, 0.878, 0.879, 0.88, 0.875, 0.875, 0.88, 0.878, 0.876, 0.874, 0.878, 0.879, 0.878, 0.875, 0.875, 0.879, 0.876, 0.873, 0.874]"
